Temp,Nutrient,shannon.bac,Spec,Respiration,shannon.pro,biomass.pro
22,0.5,2.284232449,0.016,0.000414324,0.91615429,287993.96
22,0.5,3.053980933,0.01,0.000436032,0.62770526,109130.97
22,0.5,3.377782714,0.012,0.000435227,0.29318357,461654.38
22,0.5,2.972407264,0.008,0.000359095,0.32864379,245736.19
22,0.5,3.22087444,0.006,1.94E-05,0.46317044,243807.06
22,0.5,1.975820575,0.004,0.000280151,0.68743575,98668.78
22,0.5,2.518787152,0.006,0.000299761,0.81311102,141134.83
22,0.5,2.602832933,0.012,0.000343586,0.28683598,446897.04
22,0.5,3.494237494,0.012,0.000564356,0.72498134,279378.01
22,0.5,2.267747671,0.011,0.000477205,0.58750093,180000.35
22,0.5,2.614146432,0.007,0.000533053,1.02839417,101512.25
22,0.5,2.877136628,0.013,0.000380699,0.66156324,63711.03
22,0.5,3.048600745,0.012,0.000305047,0.56233514,80870.37
22,0.5,3.377541212,0.007,0.000461224,0.4960218,267722.3
22,0.5,2.09369431,0.039,0.000278993,0.99124966,596886.85
22,0.5,2.7222343,0.027,0.000427193,0.33681113,269733.94
22,0.5,2.770722706,0.004,0.000318818,0.58187865,175524.21
22,0.5,3.127486784,0.006,0.00043145,0.47420813,206685.54
22,0.5,3.129239285,0.011,0.000577965,0.52251342,166846.33
22,0.5,2.518598045,0.021,0.000380475,0.32644204,193617.81
22,0.5,2.794580177,0.004,0.000203837,NA,NA
22,0.5,3.191231761,0.015,0.00029999,NA,NA
22,0.5,2.73960433,0.007,0.000301589,NA,NA
22,0.5,2.790853262,0.005,7.46E-05,NA,NA
22,0.5,2.710535833,0.002,0.000513372,NA,NA
22,0.5,2.579578577,0.004,0.000788792,NA,NA
22,0.5,2.592741624,0,9.69E-05,NA,NA
22,0.5,3.259442413,0.001,0.000181952,NA,NA
22,0.5,3.382497236,0.003,0.000127942,NA,NA
22,0.5,3.347869822,0.011,0.00031294,NA,NA
25,0.5,3.353396118,0.03,0.000378342,0.95569989,29911.76
25,0.5,2.449012989,0.002,0.000627038,0.90614909,151463.1
25,0.5,2.520470383,0.012,0.000126163,0.46994172,149266.37
25,0.5,3.287535378,0.006,0.000280797,NA,NA
25,0.5,3.53279455,0.005,0.000461266,1.2601803,372981.16
25,0.5,3.556084717,0.01,0.000440209,0.36194703,378712.26
25,0.5,3.491853973,0.006,0.000315404,0.71718225,245416.96
25,0.5,3.058760541,0.027,0.000353947,0.50630013,197485.4
25,0.5,3.743574272,0.013,0.000150297,0.5151581,431157.93
25,0.5,3.503492853,0.012,0.000401428,0.69342841,410600.95
25,0.5,3.439327968,0.004,0.000577335,0.61089473,157251.31
25,0.5,3.200693831,0.007,0.000305813,0.65619279,171952.29
25,0.5,3.195468233,0.025,0.000559973,0.40387118,597639.98
25,0.5,3.32707431,0.016,0.000760094,0.72099953,439585.23
25,0.5,3.437718054,0.047,0.00039522,0.69283657,226050.53
25,0.5,3.256266831,0.025,0.000439027,0.50265496,228526.38
25,0.5,3.923517679,0.027,0.000354384,0.39236,582544.16
25,0.5,3.208883138,0.034,9.52E-05,0.68552218,354912.48
25,0.5,2.901815866,0.006,0.000323047,0,131245.55
25,0.5,3.262205419,0.012,9.61E-05,0.80334685,115567.39
25,0.5,2.588417587,0.001,0.000126539,NA,NA
25,0.5,2.531903633,0.004,0.000335506,NA,NA
25,0.5,2.955598783,0.002,0.000240901,NA,NA
25,0.5,2.184241409,0,0.000265584,NA,NA
25,0.5,2.487461071,0,0.000203984,NA,NA
25,0.5,3.093828054,0.001,0.000169596,NA,NA
25,0.5,2.360109656,0,0.000253312,NA,NA
25,0.5,2.704286555,0.002,0.00019186,NA,NA
25,0.5,2.563934284,0.007,0.000280308,NA,NA
25,0.5,3.030633365,0.002,0.000342136,NA,NA
22,1,3.123598221,0.037,0.000358095,0.63487472,467332.92
22,1,2.825086621,0.002,6.79E-05,0.1849074,138355.73
22,1,3.356374785,0.054,0.000661641,0.58080266,697093.11
22,1,3.344839856,0.073,0.001319612,1.03372911,2568383.42
22,1,3.002765767,0.022,0.0008912,0.30446898,649605.36
22,1,3.336650723,0.017,0.000481704,0.15141243,594320.84
22,1,3.314923806,0.005,0.000935397,0.14298454,482770.05
22,1,3.273927519,0.039,0.000363847,0.55642983,501449.67
22,1,3.16698879,0.079,0.000448098,0.39540675,426094.69
22,1,3.076617271,0.014,0.000829294,0.40549707,557407.58
22,1,3.552182367,0.014,0.001117424,0.34092,641619.79
22,1,3.42128537,0.081,0.000390114,0.18120731,976538.19
22,1,2.82853352,0.005,0.000788214,0.37438699,552710.99
22,1,3.387402457,0.077,0.000690407,0.74463051,517497.44
22,1,3.012184675,0.054,0.000568492,0.07237779,344587.53
22,1,2.465481031,0.048,0.000343429,0.38584969,251842.69
22,1,2.793851327,0.002,0.000369711,0.23252902,618227.75
22,1,3.041722293,0.057,0.000675541,0.18976233,739012.53
22,1,3.205016259,0.03,0.000426968,0.06521436,558631.72
22,1,3.164227576,0,0.000342969,0.13579396,209770.98
22,1,2.787929399,0.026,0.000214424,NA,NA
22,1,3.05335503,0.019,0.000420067,NA,NA
22,1,3.252094134,0.035,0.000942134,NA,NA
22,1,3.064228397,0.007,0.000211373,NA,NA
22,1,2.488001552,0.019,0.000348312,NA,NA
22,1,3.407717639,0.001,0.000428363,NA,NA
22,1,3.013411916,0.002,0.000450123,NA,NA
22,1,3.353788277,0.008,0.000381249,NA,NA
22,1,2.696488857,0.002,0.000196769,NA,NA
22,1,2.463890635,0.006,0.000151165,NA,NA
25,1,3.147590141,0.03,9.01E-05,0.55332861,579714.91
25,1,3.411623224,0.005,0.000944039,0.21028341,158350.51
25,1,2.914126938,0.012,0.000331659,0.38551928,747812.43
25,1,3.163115515,0.004,0.001957856,1.23451257,620418.29
25,1,3.048972589,0.009,0.000347309,0.07851576,321666.82
25,1,3.109809417,0.014,0.000544825,0.15470863,734060.83
25,1,2.173270515,0,0.001128836,0.47274623,466742.4
25,1,2.985055611,0.004,0.000249369,0.96112771,70916.35
25,1,3.524293906,0.017,0.000426204,0.19034726,707547.42
25,1,1.901630051,0.002,0.000585576,0.45139581,299886.48
25,1,3.320146807,0.003,0.000681939,0.88172148,231387.48
25,1,3.013062012,0.01,0.000419339,0.14430004,401697.45
25,1,2.958183652,0.003,0.000660567,1.06087184,134492.91
25,1,2.400109214,0.001,0.000675445,0.30472287,548921.89
25,1,3.515175607,0.006,0.000471223,0.36933312,230590.34
25,1,3.341178518,0.003,0.000249475,0.57441973,147548.46
25,1,3.215373467,0.008,0.000340509,0.49695421,436420.16
25,1,2.991760016,0.002,0.000287109,0.27118937,111369.48
25,1,3.202694985,0.003,0.00028046,0.34049978,291286.93
25,1,2.855235739,0.011,0.000701001,1.35316284,218311.27
25,1,2.926858818,0.038,0.000658128,NA,NA
25,1,2.518667938,0.005,0.000516592,NA,NA
25,1,3.401780913,0.006,0.000763144,NA,NA
25,1,3.680912243,0.006,0.00048961,NA,NA
25,1,1.797409944,0.005,0.000503246,NA,NA
25,1,3.386568106,0.012,0.001423159,NA,NA
25,1,2.98914231,0.003,0.000338986,NA,NA
25,1,3.144337153,0.024,0.000480004,NA,NA
25,1,3.276602179,0.018,0.000646922,NA,NA
25,1,2.955633038,0.009,0.000745409,NA,NA
